# f /Hz	ReZ /Ohms	ImZ /Ohms	d_ReZ /Ohms	d_ImZ /Ohms	d_ReZ /%	d_ImZ /%
2.046088289466011997e-02	1.107155871010161491e+03	-1.678809842693457745e-05	1.376033819794170654e+02	1.590648962868446588e-06	1.300000000000000000e+01	1.000000000000000000e+01
2.580861540418075487e-02	1.109148029736864373e+03	-2.029270101169761557e-05	7.938543113016265806e+01	1.642013744919986201e-06	8.000000000000000000e+00	9.000000000000000000e+00
3.255405118685032045e-02	1.083326590181217171e+03	-2.488957660857905158e-05	4.739106031171561284e+01	3.745652199807168946e-06	5.000000000000000000e+00	1.600000000000000000e+01
4.106249917244297887e-02	1.081121617625876070e+03	-3.006962545834837182e-05	6.823609437134942368e+01	6.425736754107088969e-06	7.000000000000000000e+00	2.200000000000000000e+01
5.179474679231212825e-02	1.088902599788581711e+03	-3.772191088599958277e-05	6.861911766406160496e+01	5.333426768371711253e-06	7.000000000000000000e+00	1.500000000000000000e+01
6.533201459593773741e-02	1.112514013029353237e+03	-4.620334863901476400e-05	6.460618832466404626e+01	1.108845112663474591e-05	6.000000000000000000e+00	2.400000000000000000e+01
8.240743309893661106e-02	1.114726368162490644e+03	-5.483964094689834043e-05	1.150353019705752899e+02	2.580220405180659521e-06	1.100000000000000000e+01	5.000000000000000000e+00
1.039457465372262551e-01	1.106660857436466131e+03	-6.781647359531025579e-05	1.343307133855570896e+02	5.144948563201425862e-06	1.300000000000000000e+01	8.000000000000000000e+00
1.311133937421564422e-01	1.106252349718927007e+03	-8.244109747407168010e-05	1.362327731612508330e+02	6.368414655064116364e-06	1.300000000000000000e+01	8.000000000000000000e+00
1.653816783395672951e-01	1.109236317314031567e+03	-1.010342303322783243e-04	1.515958455075056861e+02	1.014399553101261124e-05	1.400000000000000000e+01	1.100000000000000000e+01
2.086064493471958825e-01	1.095573311447239803e+03	-1.229867034749235546e-04	2.318569876188290735e+01	1.046737608295692297e-05	3.000000000000000000e+00	9.000000000000000000e+00
2.631286073895944821e-01	1.097114598275404887e+03	-1.520020132843449910e-04	2.171110118462496530e+02	9.259833177419200223e-06	2.000000000000000000e+01	7.000000000000000000e+00
3.319008795914677457e-01	1.093589168711288266e+03	-1.844894172654156894e-04	8.996537036182219538e+01	7.913486318536072165e-06	9.000000000000000000e+00	5.000000000000000000e+00
4.186477288289951471e-01	1.103805932197880111e+03	-2.235454137554913640e-04	9.058941784206245984e+01	2.082487772123616575e-05	9.000000000000000000e+00	1.000000000000000000e+01
5.280670574582636556e-01	1.122388646264362478e+03	-2.741250959490960622e-04	1.162422243326164448e+02	4.900482788176708772e-05	1.100000000000000000e+01	1.800000000000000000e+01
6.660846290809160353e-01	1.086886617345259083e+03	-3.288093160444638223e-04	3.968508991600290159e+01	3.902902718614363766e-05	4.000000000000000000e+00	1.200000000000000000e+01
8.401749869294343753e-01	1.107509986306198471e+03	-4.086809738958291859e-04	1.762554048440869110e+02	9.879963991870466906e-05	1.600000000000000000e+01	2.500000000000000000e+01
1.059766248676070832e+00	1.102246204778596848e+03	-5.039379063912028528e-04	1.905474001012198570e+01	3.166144787880045380e-05	2.000000000000000000e+00	7.000000000000000000e+00
1.336750699919707852e+00	1.117004301660251485e+03	-6.077139374029361584e-04	2.020387163746692920e+02	9.235198493635129319e-05	1.900000000000000000e+01	1.600000000000000000e+01
1.686128838286880427e+00	1.097985914230543358e+03	-7.500939260307049874e-04	2.092327929277163889e+02	1.232290952987100401e-04	2.000000000000000000e+01	1.700000000000000000e+01
2.126821747296210319e+00	1.084718483688286824e+03	-9.053669992835984733e-04	2.141683028207679627e+02	2.212055762668610668e-05	2.000000000000000000e+01	3.000000000000000000e+00
2.682695795279727236e+00	1.077264190477535976e+03	-1.129765465293388260e-03	1.994095732960181522e+02	1.145246648753026037e-04	1.900000000000000000e+01	1.100000000000000000e+01
3.383855153428233287e+00	1.097661036616721276e+03	-1.357281264835809645e-03	6.836572250802817052e+01	1.278961286874947254e-04	7.000000000000000000e+00	1.000000000000000000e+01
4.268272131163820760e+00	1.096416611734555090e+03	-1.636210319584914877e-03	9.214232421219509206e+01	1.002474508989804566e-04	9.000000000000000000e+00	7.000000000000000000e+00
5.383843622033489318e+00	1.106599615321651072e+03	-2.008653912108488131e-03	9.953188131493071467e+01	8.008050317907989711e-05	9.000000000000000000e+00	4.000000000000000000e+00
6.790985029955713514e+00	1.091370694479549002e+03	-2.466304078061190650e-03	7.851690801140037479e+01	1.740373362759341962e-04	8.000000000000000000e+00	8.000000000000000000e+00
8.565902153685499343e+00	1.101835852386231409e+03	-3.004723469037230438e-03	1.188540448602275177e+02	6.157094984548016139e-04	1.100000000000000000e+01	2.100000000000000000e+01
1.080471822318128616e+01	1.083987755570118679e+03	-3.662792429344608695e-03	1.958548567302641459e+02	9.066067573210757370e-05	1.900000000000000000e+01	3.000000000000000000e+00
1.362867959355775405e+01	1.101170035662683631e+03	-4.489133866537393242e-03	2.301506493784093550e+02	4.803065980686985204e-04	2.100000000000000000e+01	1.100000000000000000e+01
1.719072201858574545e+01	1.109728891726392249e+03	-5.570919431716925795e-03	8.560522385346594376e+01	4.045355614425298662e-04	8.000000000000000000e+00	8.000000000000000000e+00
2.168375310987433124e+01	1.106847000845105185e+03	-6.853364856195798098e-03	1.631317800204982120e+02	6.377853677688445459e-04	1.500000000000000000e+01	1.000000000000000000e+01
2.735109953041210673e+01	1.090906186261090852e+03	-8.294259776029244344e-03	1.531496338291667882e+02	4.169706776270794626e-04	1.500000000000000000e+01	6.000000000000000000e+00
3.449968470549715249e+01	1.101784522030230391e+03	-9.973195384300609367e-03	4.611367647198865427e+01	7.312441786879254934e-04	5.000000000000000000e+00	8.000000000000000000e+00
4.351665070924420320e+01	1.103249588479361819e+03	-1.248693527050014074e-02	1.882304193628954181e+02	9.369647410770670995e-04	1.800000000000000000e+01	8.000000000000000000e+00
5.489032450921557427e+01	1.104061510844153645e+03	-1.510496576571887517e-02	1.139583954392074645e+02	2.926905146446719379e-03	1.100000000000000000e+01	2.000000000000000000e+01
6.923666402678733789e+01	1.106026688147833056e+03	-1.842230640099448008e-02	2.362258503033177988e+02	2.171343806585925712e-03	2.200000000000000000e+01	1.200000000000000000e+01
8.733261623828437337e+01	1.110876314282191061e+03	-2.264893284033482612e-02	1.114204391470538980e+02	6.005078440713063764e-03	1.100000000000000000e+01	2.700000000000000000e+01
1.101581938735899513e+02	1.085695973864104644e+03	-2.720376039723408981e-02	4.693016388423039587e+01	1.391999699757183288e-03	5.000000000000000000e+00	6.000000000000000000e+00
1.389495494373138911e+02	1.106109551161153831e+03	-3.411743094094434742e-02	1.790207754149576544e+02	6.173005311175675143e-03	1.700000000000000000e+01	1.900000000000000000e+01
1.752659208536758513e+02	1.107346014053588988e+03	-4.107150531703993024e-02	1.135619898778872425e+02	4.553880805060969879e-03	1.100000000000000000e+01	1.200000000000000000e+01
2.210740742743128067e+02	1.108986298039619896e+03	-5.000245697044502363e-02	1.027189238258918493e+02	7.564621988461875390e-03	1.000000000000000000e+01	1.600000000000000000e+01
2.788548171726291685e+02	1.089664452899802427e+03	-6.162794843952942164e-02	1.016800114067918344e+02	9.601644164312783322e-03	1.000000000000000000e+01	1.600000000000000000e+01
3.517373500969380302e+02	1.108376914823795460e+03	-7.459540755344677698e-02	8.111528878623659011e+01	3.349029534436545261e-03	8.000000000000000000e+00	5.000000000000000000e+00
4.436687330978615478e+02	1.095993460704115023e+03	-8.988043453358934842e-02	1.952802061859137268e+02	3.390826220822088042e-03	1.800000000000000000e+01	4.000000000000000000e+00
5.596276445319552977e+02	1.100300523780628964e+03	-1.129380879296969648e-01	2.098669918018497640e+02	4.930529807610749445e-03	2.000000000000000000e+01	5.000000000000000000e+00
7.058940086618752048e+02	1.106229894161593620e+03	-1.359167993835147525e-01	1.714969980912798064e+02	1.538920279019213855e-02	1.600000000000000000e+01	1.200000000000000000e+01
8.903890941296734809e+02	1.101856971015812860e+03	-1.658119843880863920e-01	1.160489688201731440e+02	2.349279472337361882e-02	1.100000000000000000e+01	1.500000000000000000e+01
1.123104501832951655e+03	1.112896849759109728e+03	-2.033548817575757950e-01	2.170418099838794319e+02	4.279943465480503390e-02	2.000000000000000000e+01	2.200000000000000000e+01
1.416643274669022276e+03	1.113516411093687339e+03	-2.527269879767885530e-01	1.126198171723288937e+02	3.749062571768860957e-02	1.100000000000000000e+01	1.500000000000000000e+01
1.786902433735828481e+03	1.097591179607851927e+03	-3.049029971860987565e-01	1.551897564093922597e+02	3.959175966050818701e-02	1.500000000000000000e+01	1.300000000000000000e+01
2.253933904734793487e+03	1.084696168112868008e+03	-3.710004510552650792e-01	1.218089808262036513e+02	3.396726704787000894e-02	1.200000000000000000e+01	1.000000000000000000e+01
2.843030459302664894e+03	1.118479209579359804e+03	-4.489054228503574495e-01	1.740638847600168049e+02	8.961696792089011987e-02	1.600000000000000000e+01	2.000000000000000000e+01
3.586095482011828608e+03	1.096954159920964912e+03	-5.498120591950533820e-01	1.034141206971672347e+02	1.077162522458163102e-01	1.000000000000000000e+01	2.000000000000000000e+01
4.523370744772105354e+03	1.096066958590151216e+03	-6.765427837470631145e-01	2.959829770720296551e+02	8.993550623429977242e-02	2.800000000000000000e+01	1.400000000000000000e+01
5.705615758781020304e+03	1.094273756482053841e+03	-8.301754542236099432e-01	1.403876853733831069e+02	1.123225373291731749e-01	1.300000000000000000e+01	1.400000000000000000e+01
7.196856730011528271e+03	1.083999730816538658e+03	-1.002172273694279747e+00	4.074017428620326342e+01	4.575235283313651424e-02	4.000000000000000000e+00	5.000000000000000000e+00
9.077853991937558021e+03	1.116473092881727325e+03	-1.253949700823826285e+00	3.487775648410877949e+01	2.124587727657883673e-01	4.000000000000000000e+00	1.700000000000000000e+01
1.145047569938281231e+04	1.097363478128818542e+03	-1.487254886481152338e+00	3.152364284710302655e+01	1.258411773351520158e-01	3.000000000000000000e+00	9.000000000000000000e+00
1.444321464727281818e+04	1.095408994390794533e+03	-1.841096931937681092e+00	6.428903540250482251e+01	2.403571739282367725e-01	6.000000000000000000e+00	1.400000000000000000e+01
1.821814698566974766e+04	1.101659322965952015e+03	-2.227026773297767992e+00	2.302913959491922640e+02	1.347757032637409702e-01	2.100000000000000000e+01	7.000000000000000000e+00
2.297970969046965183e+04	1.099519061828115582e+03	-2.706818091766951540e+00	3.368551814753504345e+02	3.884535700351475218e-01	3.100000000000000000e+01	1.500000000000000000e+01
2.898577214651068061e+04	1.109192186502460800e+03	-3.331288547448563175e+00	7.243590253410744140e+01	6.963470762985789486e-01	7.000000000000000000e+00	2.100000000000000000e+01
3.656160144085193315e+04	1.122433222273057481e+03	-4.182090629963481909e+00	2.058025791532022026e+02	3.463420703489121233e-01	1.900000000000000000e+01	9.000000000000000000e+00
4.611747767708260653e+04	1.099903142060466735e+03	-4.939893743301510654e+00	6.761904154635816155e+01	4.537261333635624339e-01	7.000000000000000000e+00	1.000000000000000000e+01
5.817091329374357883e+04	1.091131497829486534e+03	-6.145945047449559162e+00	1.322492140283327728e+02	4.236549557954324419e-01	1.300000000000000000e+01	7.000000000000000000e+00
7.337467970651388168e+04	1.096808389888921965e+03	-7.350373713579988255e+00	1.009996381409875710e+01	5.083600803398725665e-01	1.000000000000000000e+00	7.000000000000000000e+00
9.255215909791353624e+04	1.098287206239055877e+03	-9.171605210148010556e+00	1.735036928290988101e+02	2.272786108992385923e-01	1.600000000000000000e+01	3.000000000000000000e+00
1.167419358823457587e+05	1.102243684970717368e+03	-1.090872256183321021e+01	5.110175457352794126e+01	5.552545597125919663e-01	5.000000000000000000e+00	6.000000000000000000e+00
1.472540427624120784e+05	1.100970746183694928e+03	-1.385242001482342289e+01	1.677156636187632159e+02	7.872172535885622047e-01	1.600000000000000000e+01	6.000000000000000000e+00
1.857409074638575548e+05	1.088907729991529550e+03	-1.631155849617326226e+01	1.016167257314552188e+02	1.241232669311088888e+00	1.000000000000000000e+01	8.000000000000000000e+00
2.342868423732235387e+05	1.084677794367622255e+03	-2.017072348602196641e+01	1.739986645201167192e+01	2.836644811499518415e+00	2.000000000000000000e+00	1.500000000000000000e+01
2.955209235202887794e+05	1.095980355763387934e+03	-2.441826434236460486e+01	3.713108287509786720e+01	3.354057681319058126e+00	4.000000000000000000e+00	1.400000000000000000e+01
3.727593720314938109e+05	1.082835920848269552e+03	-3.034585942857497898e+01	5.307802171891643894e+01	5.597953551111464421e+00	5.000000000000000000e+00	1.900000000000000000e+01
4.701851489299847162e+05	1.088187773861694950e+03	-3.662757097516986704e+01	4.636967033203789157e+01	3.460497158611130164e+00	5.000000000000000000e+00	1.000000000000000000e+01
5.930744895010570763e+05	1.093131303401110017e+03	-4.491180835174915131e+01	1.039610251284450442e+02	6.332679276406019575e+00	1.000000000000000000e+01	1.500000000000000000e+01
7.480826455225093523e+05	1.066605776733622179e+03	-5.415958660599932273e+01	7.056112209808304669e+01	6.043836488401953311e+00	7.000000000000000000e+00	1.200000000000000000e+01
9.436043101478889585e+05	1.087452922701054376e+03	-6.464053850895616904e+01	7.003647654860911587e+01	9.074600962552068495e+00	7.000000000000000000e+00	1.500000000000000000e+01
1.190228244778714376e+06	1.080517995442260144e+03	-7.989595156990795033e+01	4.090473996868606577e+01	1.098689748388938625e+01	4.000000000000000000e+00	1.400000000000000000e+01
1.501310728908171179e+06	1.077180587307555697e+03	-9.596922052315012763e+01	2.170116661304035972e+02	1.130715587643510212e+01	2.100000000000000000e+01	1.200000000000000000e+01
1.893698888950364199e+06	1.046515658868047240e+03	-1.149161636075562427e+02	5.267440905505065984e+01	1.167050078015859071e+01	6.000000000000000000e+00	1.100000000000000000e+01
2.388643078984600492e+06	1.038515797578275169e+03	-1.372991292593048058e+02	2.492623227736245539e+01	1.035363041279710927e+01	3.000000000000000000e+00	8.000000000000000000e+00
3.012947724726992194e+06	1.019658578094880795e+03	-1.645611769382680052e+02	1.171702608559747176e+02	6.766100230172546581e+00	1.200000000000000000e+01	5.000000000000000000e+00
3.800422956365881953e+06	1.020568877052898301e+03	-1.982619837773871723e+02	2.396401152873747975e+01	1.816671808388789344e+01	3.000000000000000000e+00	1.000000000000000000e+01
4.793715645558228716e+06	9.870604722924648513e+02	-2.279554116503381636e+02	1.567898562704462506e+02	1.056228945342986592e+01	1.600000000000000000e+01	5.000000000000000000e+00
6.046619009070447646e+06	9.615759276053713620e+02	-2.661518078524154021e+02	1.353051873498168618e+02	1.266808484243357569e+01	1.500000000000000000e+01	5.000000000000000000e+00
7.626985859023451805e+06	9.083105806053723654e+02	-3.002631272679355448e+02	1.164958601180836126e+02	4.613226531801950614e+01	1.300000000000000000e+01	1.600000000000000000e+01
9.620403271064760163e+06	8.410692432856794767e+02	-3.370253503046039327e+02	1.221332917270988787e+02	7.564891739728628295e+01	1.500000000000000000e+01	2.300000000000000000e+01
1.213482767749143206e+07	7.850417796524880032e+02	-3.687842750209230758e+02	1.195659234271148392e+02	4.691847157043581262e+01	1.600000000000000000e+01	1.300000000000000000e+01
1.530643140556362644e+07	7.067795378210681747e+02	-3.936373187154486004e+02	5.139294232993306366e+01	2.337930781191105467e+01	8.000000000000000000e+00	6.000000000000000000e+00
1.930697728883253410e+07	6.324795109394267456e+02	-4.051595314779357864e+02	9.716303223292167957e+01	6.145659828131202573e+01	1.600000000000000000e+01	1.600000000000000000e+01
2.435312073433417454e+07	5.399173225791319055e+02	-3.921375262524525169e+02	8.926808482981313375e+01	2.326211659259246289e+01	1.700000000000000000e+01	6.000000000000000000e+00
3.071814301268696412e+07	4.663153757045172370e+02	-3.778497899991342024e+02	2.387094493625750147e+01	1.016285537745031036e+02	6.000000000000000000e+00	2.700000000000000000e+01
3.874675120456128567e+07	3.945939462453648048e+02	-3.611780391769614198e+02	7.829986044175961446e+00	6.689526512080998089e+01	2.000000000000000000e+00	1.900000000000000000e+01
4.887374631624437124e+07	3.344988317629690187e+02	-3.247960996090666299e+02	2.614872298556412034e+01	7.751886547925509241e+00	8.000000000000000000e+00	3.000000000000000000e+00
6.164757056337173283e+07	2.785407076531610073e+02	-2.937639873962144179e+02	4.581239602703448099e+01	5.523749148349889992e+01	1.700000000000000000e+01	1.900000000000000000e+01
7.776000906038044393e+07	2.395893642500684564e+02	-2.542980736177468941e+02	5.530394056813283044e+01	2.104967947806758488e+01	2.400000000000000000e+01	9.000000000000000000e+00
9.808365445406670868e+07	2.076103724307575646e+02	-2.180052985452255143e+02	1.183737330864026305e+01	9.006623019280768361e+00	6.000000000000000000e+00	5.000000000000000000e+00
1.237191634532159418e+08	1.806846867669491985e+02	-1.824280576325697893e+02	2.575361320721100000e+01	2.262521975002034935e+01	1.500000000000000000e+01	1.300000000000000000e+01
1.560548645007078052e+08	1.651984704891111733e+02	-1.562580166853482524e+02	3.435929929506177416e+01	1.797770110064501026e+01	2.100000000000000000e+01	1.200000000000000000e+01
1.968419447286615372e+08	1.476751839051176205e+02	-1.319255737224538905e+02	1.895405212936115547e+01	1.481186060636399127e+01	1.300000000000000000e+01	1.200000000000000000e+01
2.482892880560330153e+08	1.367630975341298267e+02	-1.077549909604615408e+02	1.052685700632254751e+01	7.994005260716410710e+00	8.000000000000000000e+00	8.000000000000000000e+00
3.131831005243844986e+08	1.299653350565320693e+02	-9.057720824415288519e+01	9.570642288924419816e+00	5.466575874934131107e+00	8.000000000000000000e+00	7.000000000000000000e+00
3.950378013566640615e+08	1.230477463217926157e+02	-7.560425893966566946e+01	8.163247430913814995e+00	1.135988420286154543e+01	7.000000000000000000e+00	1.600000000000000000e+01
4.982863514647315741e+08	1.178399081052417614e+02	-6.267197717341971241e+01	9.652770925982164130e+00	3.893649886739784627e+00	9.000000000000000000e+00	7.000000000000000000e+00
6.285203269240109921e+08	1.138416050602722152e+02	-5.017955805432665528e+01	9.664748432877930284e+00	7.051007462035495443e+00	9.000000000000000000e+00	1.500000000000000000e+01
7.927927389450606108e+08	1.116123650685883035e+02	-4.199793225746589798e+01	1.262079461810243153e+01	6.958194230195523744e+00	1.200000000000000000e+01	1.700000000000000000e+01
1.000000000000000000e+09	1.092350326900819226e+02	-3.423665119634745935e+01	9.757777277172236197e+00	4.427871896135824770e+00	9.000000000000000000e+00	1.300000000000000000e+01
